Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-04,3741.97,3743.93,3714.76,3716.26,4755791
2020-03-05,3762.12,3770.52,3662.01,3690.89,4921506
2020-03-06,3651.56,3651.56,3575.83,3610.61,9459861
2020-03-09,3515.08,3516.23,3353.4,3385.71,10587811
2020-03-10,3368.22,3438.76,3331.55,3348.64,6745717
2020-03-11,3349.35,3366.05,3161.49,3194.01,14379046
2020-03-12,3069.83,3069.83,2813.32,2813.32,15647740
2020-03-13,2815.55,2962.26,2815.55,2883.75,19567161
2020-03-16,2842.34,2842.34,2675.22,2769.14,13221676
2020-03-17,2791.17,2895.98,2786.85,2888.89,14908695
2020-03-18,2879.61,2936.81,2850.22,2864.03,13570310
2020-03-19,2872.04,2985.53,2869.5,2973.31,8963956
2020-03-20,3050.23,3094.73,2856.7,2875.68,20811828
2020-03-23,2829.01,2840.98,2746.19,2785.72,6633921
2020-03-24,2843.11,2898.75,2827.21,2829.01,7238853
2020-03-25,2897.63,2926.09,2807.08,2842.9,6598949
2020-03-26,2848.16,2877.9,2823.36,2871.45,7938041
2020-03-27,2895.65,2895.65,2853.23,2864.48,6769860
2020-03-30,2884.9,2885.29,2799.21,2832.89,5253624
2020-03-31,2847.7,2865.14,2819.36,2850.06,6888624
2020-04-01,2858.72,2864.57,2825.55,2859.06,6392952
2020-04-02,2863.21,2879.23,2845.81,2859.38,7865962
2020-04-03,2876.96,2877.56,2845.55,2860.32,10358518
2020-04-06,2887.36,2999.46,2887.36,2999.46,11331138
2020-04-07,3034.2,3143.74,3033,3056.18,12769024
2020-04-08,3074.6,3094.65,3021.33,3036,10393442
2020-04-09,3078.15,3096.18,3052.4,3091.14,8928679
2020-04-14,3130.5,3269.49,3129.61,3269.49,9759447
2020-04-15,3288.66,3292.62,3165.94,3165.94,8587382
2020-04-16,3190.06,3210.55,3172.99,3197.59,11297541
2020-04-17,3230.27,3244.15,3219.12,3231.71,8730108
2020-04-20,3245.84,3245.84,3205.96,3211.47,10472551
2020-04-21,3213.37,3213.37,3109.5,3131.87,8019326
2020-04-22,3125.98,3180.04,3098.99,3173.67,7041134
2020-04-23,3190.94,3248.97,3171.21,3248.97,8300354
2020-04-24,3235.25,3247.63,3201.98,3211.04,5075021
2020-04-27,3240.76,3251.25,3183.89,3197.45,7931878
